,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo
1759,MSTR US Equity,MicroStrategy Incorporated,179.55,$2.03B,1998,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mstr,na,na,0,0
1760,MVIS US Equity,"Microvision, Inc.",2,$88.9M,1996,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mvis,na,na,0,0
1761,MPB US Equity,Mid Penn Bancorp,15.57,$54.45M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mpb,na,na,0,0
1762,MCEP US Equity,"Mid-Con Energy Partners, LP",6.07,$141.65M,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcep,na,na,0,0
1763,MBRG US Equity,Middleburg Financial Corporation,18.25,$130.01M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbrg,na,na,0,0
1764,MBCN US Equity,Middlefield Banc Corp.,33.5999,$68.84M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbcn,na,na,0,0
1765,MSEX US Equity,Middlesex Water Company,22.7,$365.73M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/msex,na,na,0,0
1766,MOFG US Equity,"MidWestOne Financial Group, Inc.",28.26,$235.96M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mofg,na,na,0,0
1767,MDXG US Equity,"MiMedx Group, Inc",9.855,$1.05B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mdxg,na,na,0,0
1768,MNDO US Equity,MIND C.T.I. Ltd.,3.49,$66.08M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mndo,na,na,0,0
1769,NERV US Equity,"Minerva Neurosciences, Inc",5.32,$98.1M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nerv,na,na,0,0
1770,MRTX US Equity,"Mirati Therapeutics, Inc.",23.7,$382.15M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrtx,na,na,0,0
1771,MSON US Equity,"MISONIX, Inc.",12.25,$93.55M,1992,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/mson,na,na,0,0
1772,MIND US Equity,"Mitcham Industries, Inc.",6.52,$78.79M,1994,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/mind,na,na,0,0
1773,MITK US Equity,"Mitek Systems, Inc.",3.4,$104.23M,n/a,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/mitk,na,na,0,0
1774,MITL US Equity,Mitel Networks Corporation,10.07,$1.01B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/mitl,na,na,0,0
1775,MKSI US Equity,"MKS Instruments, Inc.",35.8,$1.9B,1999,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mksi,na,na,0,0
1776,MMAC US Equity,"MMA Capital Management, LLC",9.1601,$66.68M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/mmac,na,na,0,0
1777,MINI US Equity,"Mobile Mini, Inc.",41.79,$1.93B,1994,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/mini,na,na,0,0
1778,MOBL US Equity,"MobileIron, Inc.",8.8,$668.62M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mobl,na,na,0,0
1779,MOCO US Equity,"MOCON, Inc.",16.45,$93.33M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/moco,na,na,0,0
1780,MDSY US Equity,ModSys International Ltd.,2.6,$30.21M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdsy,na,na,0,0
1781,MLNK US Equity,"ModusLink Global Solutions, Inc",3.73,$194.79M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mlnk,na,na,0,0
1782,MOKO US Equity,Moko Social Media Ltd.,5.2,$78.07M,2014,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/moko,na,na,0,0
1783,MOLG US Equity,"MOL Global, Inc.",2.52,$170.1M,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/molg,na,na,0,0
1784,MNTA US Equity,"Momenta Pharmaceuticals, Inc.",13.01,$690.19M,2004,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/mnta,na,na,0,0
1785,MOMO US Equity,Momo Inc.,11.5,$2.14B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/momo,na,na,0,0
1786,MCRI US Equity,"Monarch Casino & Resort, Inc.",18.27,$306.99M,1993,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mcri,na,na,0,0
1787,MNRK US Equity,"Monarch Financial Holdings, Inc.",12.37,$131.7M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mnrk,na,na,0,0
1788,MDLZ US Equity,"Mondelez International, Inc.",36.97,$62.11B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mdlz,na,na,0,0
1789,MGI US Equity,"Moneygram International, Inc.",8.53,$460.29M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mgi,na,na,0,0
1790,MPWR US Equity,"Monolithic Power Systems, Inc.",51.99,$2.01B,2004,Technology,Semiconductors,http://www.nasdaq.com/symbol/mpwr,na,na,0,0
1791,TYPE US Equity,Monotype Imaging Holdings Inc.,32.82,$1.29B,2007,Technology,EDP Services,http://www.nasdaq.com/symbol/type,na,na,0,0
1792,MNRO US Equity,"Monro Muffler Brake, Inc.",63.33,$2.01B,1991,Consumer Services,Automotive Aftermarket,http://www.nasdaq.com/symbol/mnro,na,na,0,0
1793,MRCC US Equity,Monroe Capital Corporation,14.74,$140.29M,2012,n/a,n/a,http://www.nasdaq.com/symbol/mrcc,na,na,0,0
1794,MNST US Equity,Monster Beverage Corporation,121.26,$20.34B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/mnst,na,na,0,0
1795,MHGC US Equity,Morgans Hotel Group Co.,7.81,$268.49M,2006,n/a,n/a,http://www.nasdaq.com/symbol/mhgc,na,na,0,0
1796,MORN US Equity,"Morningstar, Inc.",77.13,$3.44B,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/morn,na,na,0,0
